Вопрос;Класс;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id людей не имеющих middle_name;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id людей не имеющих среднего имени;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов посетил студент с id 121?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id курсов, которые посетил студент с id 121;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов посетил студент с id 131?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id курсов, которые посетил студент с id 131;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов посетил студент с id 141?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id курсов, которые посетил студент с id 141;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов посетил студент с id 151?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести id курсов, которые посетил студент с id 151;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, зарегистрированных более, чем на один курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, которые зарегистрировались больше, чем на 1 курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, зарегистрированных менее, чем на три курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, которые зарегистрировались меньше, чем на 3 курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, зарегистрированных не более, чем на четыре курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, которые зарегистрировались максимум на 4 курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, зарегистрированных не менее, чем на два курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, которые зарегистрировались минимум на 2 курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id у курсов, на которые не зарегистрирован ни один студент?;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id у курсов, на которые зарегистрировано 0 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какова средняя длина пароля?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднюю длину пароля;1;;;;;;;;;;;;;;;;;;;;;;;;
Какова средняя длина логина?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднюю длину логина;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список паролей и их длину;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список логинов и их длину;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести уникальные other_details из таблиц Student_Course_Attendance и Courses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести все other_details из таблиц Student_Course_Attendance и Courses;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех адресов, расположенных в городе ""Москва"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех людей, у которых нет среднего имени.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Получить список всех кандидатов, сдавших экзамен на ""отлично"" (например, qualification = 'A').";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех курсов, на которые никто не был зарегистрирован.;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего студентов зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии всех студентов, зарегистрированных на курс с ID 101.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти количество курсов, описание которых содержит слово ""программирование"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Какое количество студентов успешно посетило курс с ID 202?;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести идентификаторы студентов, которые проживают за пределами страны ""Россия"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список всех кандидатов, у которых нет дополнительной информации (candidate_details).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти все почтовые индексы, связанные с более чем одним адресом.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество кандидатов, проваливших вступительный экзамен.;1;;;;;;;;;;;;;;;;;;;;;;;;
Список студентов, которые не посетили ни одного курса.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести всех людей, чья фамилия начинается на букву ""К"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Получить список всех курсов, имя которых состоит более чем из 3 слов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти общее количество различных адресов электронной почты в базе данных.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести детали (other_details) для студента с самым длинным именем.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курс с самым большим количеством студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всех кандидатов, экзамен которых состоялся до 1 января 2021 года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество курсов с описанием длиннее 150 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, фамилия которых содержит ""ов"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов без адреса электронной почты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего уникальных городов представлено в адресах?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднее количество студентов на одном курсе.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, которые зарегистрировались на курс после 1 сентября 2022 года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех курсов, которые никто не посещал.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество курсов, которые посетил каждый студент.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, которые зарегистрировались на более чем 5 курсов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько кандидатов сдали вступительный экзамен с первого раза?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести даты всех вступительных экзаменов, состоявшихся в последнем квартале 2022 года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посещали курсы только в определенной стране.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех людей, у которых в логине есть цифры.;1;;;;;;;;;;;;;;;;;;;;;;;;
Список курсов, на которые не зарегистрирован ни один студент за последний год.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имя и фамилию студента, который посетил больше всего различных курсов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курс с наименьшим количеством участников.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Какое количество студентов имеют электронную почту на Gmail (поиск по ""@gmail.com"")?";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести детали всех курсов, включая количество зарегистрированных на них студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех людей, у которых нет мобильного номера в базе данных.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, описание которых упоминает ""онлайн обучение"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего адресов находится в пределах одного почтового индекса?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех студентов, посетивших курс, и количество посещений каждого студента.;1;;;;;;;;;;;;;;;;;;;;;;;;
Определить, сколько студентов из каждой страны зарегистрировано в системе.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов с указанием даты самой ранней и самой поздней регистрации студентов на курс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести все уникальные страны, в которых проживают кандидаты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые не указали второе имя.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество людей с уникальными комбинациями имя-фамилия.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести самый популярный курс по количеству регистраций.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые регистрировались на курсы, но не посещали их.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество курсов, которые успешно завершили все зарегистрированные на них студенты.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести имена всех студентов, которые взяли курс по ""математике""";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести все курсы, которые никогда не посещались студентами из США;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов, которые подавали заявления более чем на один курс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько студентов записалось на курсы после успешного прохождения вступительного теста?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, которые были отменены.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые записались на курсы, но впоследствии отказались от них.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов по каждому курсу за последний год.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех кандидатов, которые сдали вступительный экзамен с оценкой выше среднего;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, имеющих адрес электронной почты на домене ""edu"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех людей, у которых нет мобильного номера указанного в базе данных.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех адресов, у которых указан город и индекс;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, зарегистрированных на курс, но отсутствующих в таблице посещений.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов, которые успешно прошли вступительное испытание и их результаты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти и вывести имена и фамилии всех студентов, не связанных ни с одним адресом.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех людей, чье имя или фамилия содержит ""Алекс"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, у которых есть регистрация по крайней мере на один курс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов с деталями их вступительных экзаменов.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти и вывести список всех людей, живущих в стране, отличной от ""России"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех студентов, у которых больше одного зарегистрированного адреса.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество курсов, на которые не было зарегистрировано ни одного студента.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти и вывести список всех курсов, на которые зарегистрировался студент с ID 24;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов, которые не прошли вступительный экзамен (по коду результата).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти общее количество студентов, зарегистрированных на каждый курс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых нет зарегистрированного номера мобильного телефона.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех адресов, где страна не ""США"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти и вывести список студентов, зарегистрированных на курс в 2023 году;1;;;;;;;;;;;;;;;;;;;;;;;;
 Вывести количество людей, живущих в каждой стране, основываясь на адресных данных.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество студентов, у которых указан номер мобильного телефона.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести все данные о студентах, чья фамилия начинается на букву ""А"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Какой процент студентов имеет второе имя?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список уникальных стран, указанных в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие курсы посетил студент с идентификатором 10?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых нет информации об адресе.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на каждый курс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, которые сдали вступительный экзамен после 01.01.2022.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, отсортированный по дате регистрации на курсы.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, на которые не зарегистрирован ни один студент.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов из каждого города.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти кандидатов, у которых результат вступительного экзамена ""Fail"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, отсортированный по количеству зарегистрированных студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждом месяце.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, у которых дата посещения курса отличается от даты регистрации.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, на которые зарегистрировано более 10 студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных почтовых индексов в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых нет описания.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти кандидатов, которые сдали вступительный экзамен с оценкой ""4"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов из каждой страны.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили все курсы, на которые они зарегистрированы.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, отсортированный по названию города.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, у которых нет дополнительной информации.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на каждый курс в каждом месяце.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые зарегистрировано менее 5 студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, которые сдали вступительный экзамен в течение последних 30 дней.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в выходные дни (суббота или воскресенье).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список уникальных комбинаций города и страны в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти кандидатов, у которых результат вступительного экзамена ""Pass"" и оценка ""4"" или выше.";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, на которые зарегистрировались студенты из более чем одной страны.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, которые сдавали вступительный экзамен в первой половине года.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество уникальных доменов электронной почты (часть после ""@"") у студентов.";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в первые 7 дней после регистрации на них.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, отсортированный по средней дате регистрации студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, у которых дата вступительного экзамена приходится на понедельник.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждом квартале года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых дата посещения курса позже текущей даты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых не указана дополнительная информация (line_2).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых логин является частью электронной почты.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых название содержит слово ""Introduction"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых описание содержит слово ""advanced"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, у которых номер мобильного телефона начинается с ""+7"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в первый день месяца.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых название города состоит из более чем одного слова.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый день недели.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых имя и фамилия начинаются на одну и ту же букву.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, отсортированный по длине названия курса.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных комбинаций имени и фамилии у студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых почтовый индекс содержит только цифры.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый час суток.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых электронная почта содержит их имя или фамилию.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых идентификатор курса состоит только из букв.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых пароль короче 8 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в дни, когда не проводились вступительные экзамены.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых указана дополнительная информация (line_2), но не указан почтовый индекс.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый сезон года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых имя или фамилия содержат дефис.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых название курса длиннее описания курса.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных комбинаций города и штата/области в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых название страны начинается с буквы ""А""";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых в электронной почте есть цифры.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых идентификатор курса длиннее 10 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, у которых пароль содержит символы ""*"" или ""-"" .";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в дни, когда также регистрировались новые студенты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых почтовый индекс начинается с буквы.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти кандидатов, у которых оценка за вступительный экзамен содержит знак процента ""%"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый месяц каждого года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых фамилия состоит из более чем 10 букв.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых описание курса содержит слово ""beginner"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных комбинаций штата/области и страны в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые посетили курсы в дни, когда не регистрировались новые студенты.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых название города заканчивается на букву ""а""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти кандидатов, у которых результат вступительного экзамена ""Fail"" и дата экзамена в прошлом.";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых имя длиннее фамилии.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых идентификатор курса содержит символ  ""_"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых логин содержит их имя.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых почтовый индекс содержит букву ""X"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, у которых в электронной почте есть символ подчеркивания ""_"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых название курса начинается с цифры.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых название улицы содержит слово ""Main"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых описание курса длиннее 100 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых пароль содержит их фамилию.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых название города содержит букву ""Z"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, зарегистрированных на курсы в каждый месяц;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых фамилия состоит из менее чем 5 букв.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых идентификатор курса содержит слово ""безопасность"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество уникальных комбинаций города, штата/области и страны в адресах.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список адресов, в которых почтовый индекс содержит последовательность ""123"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых в электронной почте есть символ точки;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых название курса заканчивается на цифру.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, которые сдавали вступительный экзамен в последний день года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, у которых логин длиннее 8 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых line_1 начинается с числа.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список курсов, у которых описание курса содержит слово ""базовый"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти кандидатов, которые сдавали вступительный экзамен в первый день года.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список адресов, в которых название города состоит из одного слова.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, у которых фамилия содержит букву ""Q"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых идентификатор курса начинается и заканчивается на одну и ту же букву.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, у которых пароль содержит символ доллара ""$"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество студентов, чей адрес электронной почты заканчивается на ""@edu.com"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех людей, у которых не указан мобильный номер (cell_mobile_number = '' или NULL).;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех адресов в городе ""Москва"" с почтовым индексом ""101000"".";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти студентов, зарегистрированных на курс ""CS101"", но отсутствующих в таблице посещений.";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов, которые успешно прошли оценку (asessment_outcome_code = 'Pass').;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех людей, чье имя или фамилия содержит ""Алекс"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти всех студентов, у которых есть по крайней мере один зарегистрированный курс (проверка через Student_Course_Registrations).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов с деталями их вступительных экзаменов, где qualification > 1;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти и вывести список всех людей, живущих вне ""России"" (country != 'Россия').";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех студентов, у которых больше одного зарегистрированного адреса (используя агрегацию по People_Addresses).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество курсов, на которые не было зарегистрировано ни одного студента (LEFT JOIN с проверкой на NULL).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти и вывести список всех курсов, на которые зарегистрировался студент с ID 2.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список всех кандидатов, которые не прошли вступительный экзамен (asessment_outcome_code = 'Fail').;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти общее количество студентов, зарегистрированных на курс ""CS101"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых не указан мобильный номер (cell_mobile_number IS NULL или cell_mobile_number = '').;1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести список всех адресов, где страна не ""США"" (country != 'США').";1;;;;;;;;;;;;;;;;;;;;;;;;
Найти и вывести список студентов, зарегистрированных на любой курс в 2022 году.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество людей, живущих в каждой стране, основываясь на данных таблицы Addresses.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержимое всех таблиц (используя union);1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести людей с id > 100 и id < 1000;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список паролей и их длину, а также список логинов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имена и фамилии студентов, у которых нет номера мобильного телефона.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти количество студентов, зарегистрированных на каждый курс в 2022 году;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые не зарегистрировался ни один студент.;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого города (city) вывести количество студентов, проживающих в нем.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых дата регистрации на курс (registration_date) совпадает с датой посещения курса (date_of_attendance).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, у которых логин (login_name) содержит их имя (first_name) или фамилию (last_name).;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти курсы, у которых описание (course_description) содержит слово ""программирование"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, которые посетили все курсы, на которые они зарегистрировались.;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждой страны (country) вывести количество студентов и количество курсов, на которые они зарегистрировались.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых адрес электронной почты (email_address) не соответствует их логину (login_name).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые зарегистрировалось больше 10 студентов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого штата (state_province_county) вывести количество студентов и средний балл за вступительный экзамен (qualification).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые зарегистрировались на курсы в течение одного месяца после сдачи вступительного экзамена.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, у которых нет зарегистрированных студентов из страны 'USA';1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого студента вывести его полное имя и дату последнего посещения курса (date_of_attendance).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых дата регистрации на курс (registration_date) приходится на выходные дни (суббота или воскресенье).;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые зарегистрировались студенты с результатом вступительного экзамена (asessment_outcome_code) 'Pass'.;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого почтового индекса (zip_postcode) вывести количество студентов и количество различных курсов, на которые они зарегистрировались.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, у которых имя (first_name), фамилия (last_name) или второе имя (middle_name) состоит из более чем 10 символов.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, которые не посещали ни одного курса, на который они зарегистрировались.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти среднее количество курсов, на которые зарегистрировались студенты из каждой страны.;1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти курсы, у которых в названии (course_name) есть слова ""базы данных"" или ""анализ данных"".";1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список курсов, на которые зарегистрировались только студенты с нечетными идентификаторами (student_id).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти студентов, которые сдали вступительный экзамен (qualification) с максимальным баллом.;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого города (city) вывести количество студентов и суммарное количество курсов, которые они посетили.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, у которых логин (login_name) является палиндромом (читается одинаково слева направо и справа налево).;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти курсы, у которых количество зарегистрированных студентов превышает среднее количество зарегистрированных студентов по всем курсам.;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список студентов, которые посещали курсы в выходные дни (суббота или воскресенье).;1;;;;;;;;;;;;;;;;;;;;;;;;
